concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
8657,"American Indian or Alaska Native",Race,Race,Race,S,1,1970-01-01,2099-12-31,
38003572,"American Indian",Race,Race,Race,S,1.01,1970-01-01,2099-12-31,
38003573,"Alaska Native",Race,Race,Race,S,1.02,1970-01-01,2099-12-31,
8515,Asian,Race,Race,Race,S,2,1970-01-01,2099-12-31,
38003574,"Asian Indian",Race,Race,Race,S,2.01,1970-01-01,2099-12-31,
38003575,Bangladeshi,Race,Race,Race,S,2.02,1970-01-01,2099-12-31,
38003576,Bhutanese,Race,Race,Race,S,2.03,1970-01-01,2099-12-31,
38003577,Burmese,Race,Race,Race,S,2.04,1970-01-01,2099-12-31,
38003578,Cambodian,Race,Race,Race,S,2.05,1970-01-01,2099-12-31,
38003579,Chinese,Race,Race,Race,S,2.06,1970-01-01,2099-12-31,
38003580,Taiwanese,Race,Race,Race,S,2.07,1970-01-01,2099-12-31,
38003581,Filipino,Race,Race,Race,S,2.08,1970-01-01,2099-12-31,
38003582,Hmong,Race,Race,Race,S,2.09,1970-01-01,2099-12-31,
38003583,Indonesian,Race,Race,Race,S,2.10,1970-01-01,2099-12-31,
38003584,Japanese,Race,Race,Race,S,2.11,1970-01-01,2099-12-31,
38003585,Korean,Race,Race,Race,S,2.12,1970-01-01,2099-12-31,
38003586,Laotian,Race,Race,Race,S,2.13,1970-01-01,2099-12-31,
38003587,Malaysian,Race,Race,Race,S,2.14,1970-01-01,2099-12-31,
38003588,Okinawan,Race,Race,Race,S,2.15,1970-01-01,2099-12-31,
38003589,Pakistani,Race,Race,Race,S,2.16,1970-01-01,2099-12-31,
38003590,"Sri Lankan",Race,Race,Race,S,2.17,1970-01-01,2099-12-31,
38003591,Thai,Race,Race,Race,S,2.18,1970-01-01,2099-12-31,
38003592,Vietnamese,Race,Race,Race,S,2.19,1970-01-01,2099-12-31,
38003593,"Iwo Jiman",Race,Race,Race,S,2.20,1970-01-01,2099-12-31,
38003594,Maldivian,Race,Race,Race,S,2.21,1970-01-01,2099-12-31,
38003595,Nepalese,Race,Race,Race,S,2.22,1970-01-01,2099-12-31,
38003596,Singaporean,Race,Race,Race,S,2.23,1970-01-01,2099-12-31,
38003597,Madagascar,Race,Race,Race,S,2.24,1970-01-01,2099-12-31,
8516,"Black or African American",Race,Race,Race,S,3,1970-01-01,2099-12-31,
38003598,Black,Race,Race,Race,S,3.01,1970-01-01,2099-12-31,
38003599,"African American",Race,Race,Race,S,3.02,1970-01-01,2099-12-31,
38003600,African,Race,Race,Race,S,3.03,1970-01-01,2099-12-31,
38003601,Bahamian,Race,Race,Race,S,3.04,1970-01-01,2099-12-31,
38003602,Barbadian,Race,Race,Race,S,3.05,1970-01-01,2099-12-31,
38003603,Dominican,Race,Race,Race,S,3.06,1970-01-01,2099-12-31,
38003604,"Dominica Islander",Race,Race,Race,S,3.07,1970-01-01,2099-12-31,
38003605,Haitian,Race,Race,Race,S,3.08,1970-01-01,2099-12-31,
38003606,Jamaican,Race,Race,Race,S,3.09,1970-01-01,2099-12-31,
38003607,Tobagoan,Race,Race,Race,S,3.10,1970-01-01,2099-12-31,
38003608,Trinidadian,Race,Race,Race,S,3.11,1970-01-01,2099-12-31,
38003609,"West Indian",Race,Race,Race,S,3.12,1970-01-01,2099-12-31,
8557,"Native Hawaiian or Other Pacific Islander",Race,Race,Race,S,4,1970-01-01,2099-12-31,
38003610,Polynesian,Race,Race,Race,S,4.01,1970-01-01,2099-12-31,
38003611,Micronesian,Race,Race,Race,S,4.02,1970-01-01,2099-12-31,
38003612,Melanesian,Race,Race,Race,S,4.03,1970-01-01,2099-12-31,
38003613,"Other Pacific Islander",Race,Race,Race,S,4.04,1970-01-01,2099-12-31,
8527,White,Race,Race,Race,S,5,1970-01-01,2099-12-31,
38003614,European,Race,Race,Race,S,5.01,1970-01-01,2099-12-31,
38003615,"Middle Eastern or North African",Race,Race,Race,S,5.02,1970-01-01,2099-12-31,
38003616,Arab,Race,Race,Race,S,5.03,1970-01-01,2099-12-31,
8522,"Other Race",Race,Race,Race,,9,1970-01-01,2014-07-31,D
9178,Non-white,Race,Race,Race,,RAC100,1970-01-01,2014-07-31,D
8552,Unknown,Race,Race,Race,,UNK,1970-01-01,2014-07-31,D
